1
1	 0YOU ARE STANDING AT THE END OF A ROAD BEFORE A SMALL BRICK
1	 0BUILDING . AROUND YOU IS A FOREST. A SMALL
1	 0STREAM FLOWS OUT OF THE BUILDING AND DOWN A GULLY.
2	 0YOU HAVE WALKED UP A HILL, STILL IN THE FOREST
2	 0THE ROAD NOW SLOPES BACK DOWN THE OTHER SIDE OF THE HILL.
2	 0THERE IS A BUILDING IN THE DISTANCE.
3	 0YOU ARE INSIDE A BUILDING, A WELL HOUSE FOR A LARGE SPRING.
4	 0YOU ARE IN A VALLEY IN THE FOREST BESIDE A STREAM TUMBLING
4	 0ALONG A ROCKY BED.
5	 0YOU ARE IN OPEN FOREST, WITH A DEEP VALLEY TO ONE SIDE.
6	 0YOU ARE IN OPEN FOREST NEAR BOTH A VALLEY AND A ROAD.
7	 0AT YOUR FEET ALL THE WATER OF THE STREAM SPLASHES INTO A
7	 02 INCH SLIT IN THE ROCK. DOWNSTREAM THE STREAMBED IS BARE ROCK.
8	 0YOU ARE IN A 20 FOOT DEPRESSION FLOORED WITH BARE DIRT. SET INTO
8	 0THE DIRT IS A STRONG STEEL GRATE MOUNTED IN CONCRETE. A DRY
8	 0STREAMBED LEADS INTO THE DEPRESSION.
9	 0YOU ARE IN A SMALL CHAMBER BENEATH A 3X3 STEEL GRATE TO THE
9	 0SURFACE. A LOW CRAWL OVER COBBLES LEADS INWARD TO THE WEST.
10	 0YOU ARE CRAWLING OVER COBBLES IN A LOW PASSAGE. THERE IS A
10	 0DIM LIGHT AT THE EAST END OF THE PASSAGE.
11	 0YOU ARE IN A DEBRIS ROOM, FILLED WITH STUFF WASHED IN FROM
11	 0THE SURFACE. A LOW WIDE PASSAGE WITH COBBLES BECOMES
11	 0PLUGGED WITH MUD AND DEBRIS HERE,BUT AN AWKWARD CANYON
11	 0LEADS UPWARD AND WEST.
11	 0A NOTE ON THE WALL SAYS 'MAGIC WORD XYZZY'.
12	 0YOU ARE IN AN AWKWARD SLOPING EAST/WEST CANYON.
13	 0YOU ARE IN A SPLENDID CHAMBER THIRTY FEET HIGH. THE WALLS
13	 0ARE FROZEN RIVERS OF ORANGE STONE. AN AWKWARD CANYON AND A
13	 0GOOD PASSAGE EXIT FROM EAST AND WEST SIDES OF THE CHAMBER.
14	 0AT YOUR FEET IS A SMALL PIT BREATHING TRACES OF WHITE MIST. AN
14	 0EAST PASSAGE ENDS HERE EXCEPT FOR A SMALL CRACK LEADING ON.
